depMapID,Name,BMGC_Disease_ID,BMGC_Disease_name,Pathology,Histology,type,PATHOLOGIST_ANNOTATION,tcga_code,id,xref_NCIt_name,xref_ORDO_name,depmap_match_1_disease,depmap_match_1_disease_name,depmap_match_2_disease,depmap_match_2_disease_name,ncit_match_1_disease,ncit_match_1_disease_name,ncit_match_2_disease,ncit_match_2_disease_name,ordo_match_1_disease,ordo_match_1_disease_name,ordo_match_2_disease,ordo_match_2_disease_name
ACH-000001,NIH:OVCAR-3,BMGC_DS07934,ovarian adenocarcinoma | ovary adenocarcinoma,metastasis,carcinoma,ovary,Ovary:Carcinoma,OV,CVCL_0465,High grade ovarian serous adenocarcinoma,,BMGC_DS20069,"Carcinoma, Ovarian Epithelial",BMGC_DS08982,ovarian transitional cell carcinoma | ovary transitional cell carcinoma,BMGC_DS08979,ovarian serous surface papillary adenocarcinoma | ovary papillary carcinoma,BMGC_DS09417,peritoneal serous adenocarcinoma | primary peritoneal serous adenocarcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000002,HL-60,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000004,HEL,BMGC_DS16646,erythroleukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000006,MONO-MAC-6,BMGC_DS20800,"leukemia, myeloid, acute",primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_1426,Adult acute monocytic leukemia,Acute monoblastic/monocytic leukemia,BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20480,"Leukemia, Myeloid",BMGC_DS05322,T-cell adult acute lymphocytic leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia
ACH-000007,LS513,BMGC_DS08517,cecum adenocarcinoma,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000008,A101D,BMGC_DS01559,melanoma,primary,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,,,,,,,,,,,,,,,
ACH-000009,C2BBe1,BMGC_DS05624,colon adenocarcinoma,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,,,,,,,,,,,,,,,
ACH-000012,HCC827,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000015,NCI-H1581,BMGC_DS05995,lung large cell carcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Large_Cell,,,,,,,,,,,,,,,,
ACH-000018,T24,BMGC_DS07053,bladder carcinoma,primary,carcinoma,urinary_tract,Bladder:Carcinoma,BLCA,,,,,,,,,,,,,,,
ACH-000019,MCF7,BMGC_DS07814,breast adenocarcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_0031,Invasive breast carcinoma of no special type,,BMGC_DS20899,"Carcinoma, Ductal, Breast",BMGC_DS20069,"Carcinoma, Ovarian Epithelial",BMGC_DS04087,breast lobular carcinoma | invasive lobular carcinoma,BMGC_DS09098,breast papillary carcinoma | solid papillary breast carcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000020,MHH-CALL-2,BMGC_DS06157,precursor b-cell acute lymphoblastic leukemia,primary,lymphoid_neoplasm,B-cell_ALL,Leukemia:ALL,ALL,,,,,,,,,,,,,,,
ACH-000021,NCI-H1693,BMGC_DS02944,lung adenocarcinoma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000023,PA-TU-8988T,BMGC_DS05421,pancreatic adenocarcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000024,OPM-2,BMGC_DS01639,plasma cell myeloma,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,,,,,,,,,,,,,,,
ACH-000030,PC-14,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Others,LUAD,,,,,,,,,,,,,,,
ACH-000035,NCI-H1650,BMGC_DS00367,minimally invasive lung adenocarcinoma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000038,EHEB,BMGC_DS01395,b-cell chronic lymphocytic leukemia | chronic lymphocytic leukemia,primary,lymphoid_neoplasm,lymphoma_other,Leukemia:CLL,CLL,CVCL_1194,,,BMGC_DS20477,"Leukemia, Lymphoid",BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20323,Fever,BMGC_DS22241,,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000040,U-118 MG,BMGC_DS20147,astrocytoma,primary,glioma,glioma,CNS:Glioma,GBM,,,,,,,,,,,,,,,
