depMapID,CCLE_ID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,Original.Source.of.Cell.Line,Characteristics,Growth.Medium,Supplements,Freezing.Medium,Doubling.Time.from.Vendor,Doubling.Time.Calculated.hrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code
ACH-000001,NIHOVCAR3_OVARY,NIH:OVCAR-3,metastasis,ovary,NS,NS,NS,carcinoma,NS,NS,NS,female,,60.0,caucasian,,Caucasian,ascites,ovarian_cancer,CCLE,ATCC,adherenet; epithelial,RPMI+20%FBS,,5%DMSO,,,ovary,ovary,Ovary:Carcinoma,83.80695109,OV
ACH-000002,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HL-60,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M2,NS,female,,35.0,caucasian,,Caucasian,,leukaemia,CCLE,ATCC,suspension; do not allow cell concentration to exceed 1e6cells/ml,IMDM+20 % FBS,na,5%DMSO,,113.3,AML,AML,Leukemia:AML,81.13367296,LAML
ACH-000004,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HEL,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M6,NS,male,,30.0,,,Caucasian,,,CCLE,DSMZ,"Round cells to occasionally polynucleated, single cells in suspension, few adherent",RPMI1640+10%FBS,,10%DMSO,36 hrs,38.4,AML,AML,Leukemia:AML,98.18537713,LAML
ACH-000006,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MONO-MAC-6,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,male,,64.0,,,Caucasian,,,CCLE,DSMZ,"single, round/ multiformed cells or small clusters of cells in suspention, sometimes loosely adherent; 1-5% giant cells",90% RPMI 1640 +10% h.i. FBS,2mM L-glutamine + non-essential amino acids +1 mM sodium pyruvate + 10ug/ml human insulin,,~  60 hrs,55.3,AML,AML,Leukemia:AML,77.06523381,LAML
ACH-000007,LS513_LARGE_INTESTINE,LS513,primary,large_intestine,caecum,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,,63.0,caucasian,,Caucasian,,,CCLE,,,,,,,,colorectal,colorectal,Colorectal:Carcinoma,112.3495388,COAD/READ
ACH-000008,A101D_SKIN,A101D,primary,skin,NS,NS,NS,malignant_melanoma,NS,NS,NS,male,,56.0,caucasian,,Caucasian,,,CCLE,GNF,,,,,,69.1,melanoma,melanoma,Skin:Melanoma,78.14512866,SKCM
ACH-000009,C2BBE1_LARGE_INTESTINE,C2BBe1,primary,large_intestine,colon,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,,72.0,caucasian,,Caucasian,,,CCLE,ATCC,Adherent,DMEM +10%FBS,,5% DMSO,,110.9,colorectal,colorectal,Colorectal:Carcinoma,115.8861966,COAD/READ
ACH-000012,HCC827_LUNG,HCC827,primary,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,,39.0,caucasian,,Caucasian,,lung_cancer,CCLE,ATCC,Adherent,RPMI-1640 10% FBS,,5%DMSO,,117.6,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,82.92654033,LUAD
ACH-000015,NCIH1581_LUNG,NCI-H1581,primary,lung,NS,NS,NS,carcinoma,large_cell_carcinoma,NS,NS,male,,44.0,caucasian,,Caucasian,,,CCLE,ATCC,Mixed,DMEM:F12,plethora; see sheet,5% DMSO,,34.1,lung_NSC,lung_NSC,Lung:NSCLC_Large_Cell,105.484781,
ACH-000018,T24_URINARY_TRACT,T24,primary,urinary_tract,bladder,NS,NS,carcinoma,transitional_cell_carcinoma,NS,NS,female,,81.0,caucasian,,Caucasian,,transitional_cell_carcinoma,CCLE,ATCC,Adherent epithelial,McCoy's 5A +10%,,5%DMSO,,38.8,urinary_tract,urinary_tract,Bladder:Carcinoma,94.67528958,BLCA
