depMapID,Name,Pathology,Histology,type,PATHOLOGIST_ANNOTATION,tcga_code,id,xref_NCIt_ID,xref_NCIt_name,NCIt_BMGC_ID,NCIt_BMGC_name,xref_ORDO_ID,xref_ORDO_name,ORDO_BMGC_ID,ORDO_BMGC_name
ACH-000002,HL-60,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_0002,NCIt:C9154,Adult acute myeloid leukemia,,,ORDO:Orphanet_519,Acute myeloid leukemia,BMGC_DS01407,acute myeloid leukemia
ACH-000004,HEL,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_0001,NCIt:C7152,Erythroleukemia,BMGC_DS16646,erythroleukemia,ORDO:Orphanet_318,Acute erythroid leukemia,BMGC_DS01397,acute erythroid leukemia
ACH-000007,LS513,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,CVCL_1386,NCIt:C5543,Cecum adenocarcinoma,BMGC_DS08517,cecum adenocarcinoma,,,,
ACH-000008,A101D,primary,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,CVCL_1057,NCIt:C3224,Melanoma,BMGC_DS01559,melanoma,,,,
ACH-000009,C2BBe1,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,CVCL_1096,NCIt:C4349,Colon adenocarcinoma,BMGC_DS05624,colon adenocarcinoma,,,,
ACH-000012,HCC827,primary,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,CVCL_2063,NCIt:C3512,Lung adenocarcinoma,BMGC_DS02944,lung adenocarcinoma,,,,
ACH-000015,NCI-H1581,primary,carcinoma,lung_NSC,Lung:NSCLC_Large_Cell,,CVCL_1479,NCIt:C4450,Lung large cell carcinoma,BMGC_DS05995,lung large cell carcinoma,,,,
ACH-000018,T24,primary,carcinoma,urinary_tract,Bladder:Carcinoma,BLCA,CVCL_0554,NCIt:C4912,Bladder carcinoma,BMGC_DS07053,bladder carcinoma,,,,
ACH-000020,MHH-CALL-2,primary,lymphoid_neoplasm,B-cell_ALL,Leukemia:ALL,ALL,CVCL_1409,NCIt:C9140,Childhood B acute lymphoblastic leukemia,,,ORDO:Orphanet_99860,Precursor B-cell acute lymphoblastic leukemia,BMGC_DS06157,precursor B-cell acute lymphoblastic leukemia
ACH-000021,NCI-H1693,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,CVCL_1488,NCIt:C3512,Lung adenocarcinoma,BMGC_DS02944,lung adenocarcinoma,,,,
ACH-000024,OPM-2,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,CVCL_1625,NCIt:C3242,Plasma cell myeloma,BMGC_DS01639,plasma cell myeloma,ORDO:Orphanet_29073,Multiple myeloma,BMGC_DS01639,multiple myeloma
ACH-000030,PC-14,primary,carcinoma,lung_NSC,Lung:NSCLC_Others,LUAD,CVCL_1640,NCIt:C3512,Lung adenocarcinoma,BMGC_DS02944,lung adenocarcinoma,,,,
ACH-000035,NCI-H1650,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,CVCL_1483,NCIt:C2923,Minimally invasive lung adenocarcinoma,BMGC_DS00367,minimally invasive lung adenocarcinoma,,,,
ACH-000038,EHEB,primary,lymphoid_neoplasm,lymphoma_other,Leukemia:CLL,CLL,CVCL_1194,,,,,,,,
ACH-000042,Panc 02.03,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_1633,NCIt:C8294,Pancreatic adenocarcinoma,BMGC_DS05421,pancreatic adenocarcinoma,,,,
ACH-000046,ACHN,metastasis,carcinoma,kidney,Kidney:Carcinoma,KIRC,CVCL_1067,NCIt:C6975,Papillary renal cell carcinoma,BMGC_DS08344,papillary renal cell carcinoma,ORDO:Orphanet_319298,Papillary renal cell carcinoma,BMGC_DS08344,papillary renal cell carcinoma
ACH-000047,GCIY,primary,carcinoma,stomach,Gastric:Carcinoma,STAD,CVCL_1228,NCIt:C4004,Gastric adenocarcinoma,BMGC_DS05289,gastric adenocarcinoma,,,,
ACH-000048,TOV-112D,primary,carcinoma,ovary,Ovary:Carcinoma,OV,CVCL_3612,NCIt:C7979,Ovarian endometrioid adenocarcinoma,BMGC_DS06034,ovarian endometrioid adenocarcinoma,ORDO:Orphanet_454723,Endometrioid carcinoma of ovary,,
ACH-000050,NCI-H929,metastasis,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,CVCL_1600,NCIt:C3242,Plasma cell myeloma,BMGC_DS01639,plasma cell myeloma,ORDO:Orphanet_29073,Multiple myeloma,BMGC_DS01639,multiple myeloma
ACH-000052,A-673,primary,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_Sarcoma,Bone:Sarcoma_Ewing,SARC,CVCL_0080,NCIt:C4817,Ewing sarcoma,BMGC_DS06886,Ewing sarcoma,ORDO:Orphanet_319,Ewing sarcoma,BMGC_DS06886,Ewing sarcoma
ACH-000054,HT-1080,metastasis,fibrosarcoma,soft_tissue,Soft_Tissue:Sarcoma_Fibro,SARC,CVCL_0317,NCIt:C3043,Fibrosarcoma,BMGC_DS00889,fibrosarcoma,ORDO:Orphanet_2030,Fibrosarcoma,BMGC_DS00889,fibrosarcoma
ACH-000055,D283 Med,metastasis,primitive_neuroectodermal_tumour-medulloblastoma,medulloblastoma,CNS:Medulloblastoma,MB,CVCL_1155,NCIt:C129445,"Medulloblastoma, non-WNT/non-SHH, group 3",,,ORDO:Orphanet_616,Medulloblastoma,BMGC_DS01553,medulloblastoma
ACH-000059,SUP-B15,primary,lymphoid_neoplasm,B-cell_ALL,Leukemia:ALL,ALL,CVCL_0103,NCIt:C68659,Childhood B acute lymphoblastic leukemia with t(9;22)(q34.1;q11.2) BCR-ABL1,,,ORDO:Orphanet_585909,B-lymphoblastic leukemia/lymphoma with t(9;22)(q34.1;q11.2),BMGC_DS19139,B-lymphoblastic leukemia/lymphoma with t(9;22)(q34.1;q11.2)
ACH-000060,Panc 10.05,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_1639,NCIt:C9120,Pancreatic ductal adenocarcinoma,BMGC_DS08986,pancreatic ductal adenocarcinoma,,,,
ACH-000062,RERF-LC-MS,primary,carcinoma,lung_NSC,Lung:NSCLC_Others,LUAD,CVCL_1655,NCIt:C3512,Lung adenocarcinoma,BMGC_DS02944,lung adenocarcinoma,,,,
